date,ipr,pr,q_cpi_infl,q_csi_gr,q_indpro_gr,q_rgdp_gr,q_sp500_ret,sr,su,y
1/1/2010,1.97196965,-0.019392808,-0.000193928,0.050067659,0.019719696,0.004309803,0.031526418,3.152641796,5.0067659,0.430980267
4/1/2010,2.073479936,-0.009215897,-9.22E-05,0,0.020734799,0.009567926,0.00973433,0.973432956,0,0.956792629
7/1/2010,1.557050582,0.456980247,0.004569802,-0.081991215,0.015570506,0.006704071,-0.034374042,-3.437404158,-8.199121523,0.67040707
10/1/2010,0.372785972,0.981191208,0.009811912,0.042075736,0.00372786,0.006261664,0.094243214,9.424321406,4.207573633,0.626166368
1/1/2011,0.613430002,1.133517269,0.011335173,0.024623803,0.0061343,-0.003877349,0.078172156,7.81721559,2.462380301,-0.387734916
4/1/2011,0.293483166,0.906647215,0.009066472,-0.016689847,0.002934832,0.007221962,0.012060167,1.206016731,-1.668984701,0.722196223
7/1/2011,1.250713896,0.744761956,0.00744762,-0.204355109,0.012507139,0.002103301,-0.073207999,-7.32079987,-20.43551089,0.210330115
10/1/2011,0.941529709,0.184530736,0.001845307,0.078703704,0.009415297,0.011132532,0.000312399,0.031239893,7.87037037,1.113253201
1/1/2012,1.26097187,0.718269371,0.007182694,0.141721854,0.012609719,0.005551014,0.095730879,9.573087898,14.17218543,0.555101402
4/1/2012,0.918745542,0.04036679,0.000403668,0.010484928,0.009187455,0.004022238,0.000663238,0.066323831,1.048492792,0.402223811
7/1/2012,0.388902122,0.980726113,0.009807261,-0.017333333,0.003889021,0.006130383,0.03728105,3.728104991,-1.733333333,0.61303834
10/1/2012,0.585449498,0.005119319,5.12E-05,0.055415617,0.005854495,0.000153366,0.012197953,1.219795267,5.541561713,0.015336567
1/1/2013,1.014446338,0.41962492,0.004196249,-0.035202086,0.010144463,0.006740638,0.065396473,6.539647345,-3.520208605,0.674063762
4/1/2013,0.467694771,0.336893833,0.003368938,0.06119951,0.004676948,0.004366745,0.06117619,6.117619038,6.11995104,0.436674479
